[2026-05-28 09:09:58.861] [INIT].... → Crawl4AI 0.8.6 
[2026-05-28 09:10:01.015] [FETCH]... ↓ https://wallstreetcn.com/articles/3773196                                                            | ✓ | ⏱: 2.11s 
[2026-05-28 09:10:01.111] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773196                                                            | ✓ | ⏱: 0.09s 
[2026-05-28 09:10:01.120] [COMPLETE] ● https://wallstreetcn.com/articles/3773196                                                            | ✓ | ⏱: 2.24s 
[2026-05-28 09:10:01.649] [FETCH]... ↓ https://wallstreetcn.com/articles/3773258                                                            | ✓ | ⏱: 1.15s 
[2026-05-28 09:10:01.662] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773258                                                            | ✓ | ⏱: 0.01s 
[2026-05-28 09:10:01.670] [COMPLETE] ● https://wallstreetcn.com/articles/3773258                                                            | ✓ | ⏱: 1.17s 
[2026-05-28 09:10:02.866] [FETCH]... ↓ https://wallstreetcn.com/articles/3773196                                                            | ✓ | ⏱: 1.73s 
[2026-05-28 09:10:02.944] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773196                                                            | ✓ | ⏱: 0.07s 
[2026-05-28 09:10:02.961] [COMPLETE] ● https://wallstreetcn.com/articles/3773196                                                            | ✓ | ⏱: 1.82s 
[2026-05-28 09:10:03.203] [FETCH]... ↓ https://wallstreetcn.com/articles/3773258                                                            | ✓ | ⏱: 1.52s 
[2026-05-28 09:10:03.232] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773258                                                            | ✓ | ⏱: 0.02s 
[2026-05-28 09:10:03.250] [COMPLETE] ● https://wallstreetcn.com/articles/3773258                                                            | ✓ | ⏱: 1.56s 
[2026-05-28 09:10:04.517] [FETCH]... ↓ https://wallstreetcn.com/articles/3773227                                                            | ✓ | ⏱: 1.05s 
[2026-05-28 09:10:04.531] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773227                                                            | ✓ | ⏱: 0.00s 
[2026-05-28 09:10:04.540] [COMPLETE] ● https://wallstreetcn.com/articles/3773227                                                            | ✓ | ⏱: 1.08s 
[2026-05-28 09:10:05.097] [FETCH]... ↓ https://wallstreetcn.com/articles/3773207                                                            | ✓ | ⏱: 1.35s 
[2026-05-28 09:10:05.117] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773207                                                            | ✓ | ⏱: 0.01s 
[2026-05-28 09:10:05.130] [COMPLETE] ● https://wallstreetcn.com/articles/3773207                                                            | ✓ | ⏱: 1.38s 
[2026-05-28 09:10:05.947] [FETCH]... ↓ https://wallstreetcn.com/articles/3773227                                                            | ✓ | ⏱: 1.39s 
[2026-05-28 09:10:05.988] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773227                                                            | ✓ | ⏱: 0.03s 
[2026-05-28 09:10:06.008] [COMPLETE] ● https://wallstreetcn.com/articles/3773227                                                            | ✓ | ⏱: 1.45s 
[2026-05-28 09:10:06.480] [FETCH]... ↓ https://wallstreetcn.com/articles/3773207                                                            | ✓ | ⏱: 1.33s 
[2026-05-28 09:10:06.533] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773207                                                            | ✓ | ⏱: 0.04s 
[2026-05-28 09:10:06.554] [COMPLETE] ● https://wallstreetcn.com/articles/3773207                                                            | ✓ | ⏱: 1.40s 
[2026-05-28 09:10:07.992] [FETCH]... ↓ https://wallstreetcn.com/articles/3773278                                                            | ✓ | ⏱: 1.53s 
[2026-05-28 09:10:08.010] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773278                                                            | ✓ | ⏱: 0.01s 
[2026-05-28 09:10:08.026] [COMPLETE] ● https://wallstreetcn.com/articles/3773278                                                            | ✓ | ⏱: 1.56s 
[2026-05-28 09:10:09.511] [FETCH]... ↓ https://wallstreetcn.com/articles/3773278                                                            | ✓ | ⏱: 1.46s 
[2026-05-28 09:10:09.573] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773278                                                            | ✓ | ⏱: 0.05s 
[2026-05-28 09:10:09.597] [COMPLETE] ● https://wallstreetcn.com/articles/3773278                                                            | ✓ | ⏱: 1.54s 
[2026-05-28 09:10:10.207] [FETCH]... ↓ https://wallstreetcn.com/articles/3773253                                                            | ✓ | ⏱: 1.30s 
[2026-05-28 09:10:10.224] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773253                                                            | ✓ | ⏱: 0.00s 
[2026-05-28 09:10:10.236] [COMPLETE] ● https://wallstreetcn.com/articles/3773253                                                            | ✓ | ⏱: 1.33s 
[2026-05-28 09:10:11.603] [FETCH]... ↓ https://wallstreetcn.com/articles/3773253                                                            | ✓ | ⏱: 1.35s 
[2026-05-28 09:10:11.643] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773253                                                            | ✓ | ⏱: 0.03s 
[2026-05-28 09:10:11.665] [COMPLETE] ● https://wallstreetcn.com/articles/3773253                                                            | ✓ | ⏱: 1.41s 
[2026-05-28 09:10:12.651] [FETCH]... ↓ https://wallstreetcn.com/articles/3773236                                                            | ✓ | ⏱: 1.65s 
[2026-05-28 09:10:12.668] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773236                                                            | ✓ | ⏱: 0.01s 
[2026-05-28 09:10:12.685] [COMPLETE] ● https://wallstreetcn.com/articles/3773236                                                            | ✓ | ⏱: 1.68s 
[2026-05-28 09:10:14.094] [FETCH]... ↓ https://wallstreetcn.com/articles/3773236                                                            | ✓ | ⏱: 1.38s 
[2026-05-28 09:10:14.138] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773236                                                            | ✓ | ⏱: 0.03s 
[2026-05-28 09:10:14.160] [COMPLETE] ● https://wallstreetcn.com/articles/3773236                                                            | ✓ | ⏱: 1.45s 
[2026-05-28 09:10:15.854] [FETCH]... ↓ https://wallstreetcn.com/articles/3773219                                                            | ✓ | ⏱: 1.46s 
[2026-05-28 09:10:15.877] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773219                                                            | ✓ | ⏱: 0.01s 
[2026-05-28 09:10:15.893] [COMPLETE] ● https://wallstreetcn.com/articles/3773219                                                            | ✓ | ⏱: 1.50s 
[2026-05-28 09:10:15.972] [FETCH]... ↓ https://wallstreetcn.com/articles/3773245                                                            | ✓ | ⏱: 1.59s 
[2026-05-28 09:10:15.996] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773245                                                            | ✓ | ⏱: 0.01s 
[2026-05-28 09:10:16.014] [COMPLETE] ● https://wallstreetcn.com/articles/3773245                                                            | ✓ | ⏱: 1.63s 
[2026-05-28 09:10:17.576] [FETCH]... ↓ https://wallstreetcn.com/articles/3773219                                                            | ✓ | ⏱: 1.66s 
[2026-05-28 09:10:17.616] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773219                                                            | ✓ | ⏱: 0.03s 
[2026-05-28 09:10:17.643] [COMPLETE] ● https://wallstreetcn.com/articles/3773219                                                            | ✓ | ⏱: 1.72s 
[2026-05-28 09:10:18.002] [FETCH]... ↓ https://wallstreetcn.com/articles/3773245                                                            | ✓ | ⏱: 1.96s 
[2026-05-28 09:10:18.042] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773245                                                            | ✓ | ⏱: 0.03s 
